Element 58	3.22991	0.157618	2.13478	9.9466	0.0415379	0.240481	0.501908	3.80889	0.0596625	0.366252	24.3276	0.0659653
Element 59	0.158189	3.18142	2.27622	0.0391309	10.414	0.281672	3.97705	0.0558448	0.485208	26.1873	0.0630922	0.354234
Element 6	0.212081	0.199812	0.168254	0.208605	0.20861	5.57871	0.142048	0.363831	0.000835012	1.33312	3.808	0.0403983
Element 60	0.181379	3.17616	2.35222	0.0437325	10.7843	0.305572	3.83126	0.052589	0.470091	25.4745	0.0602676	0.339017
Element 61	0.192987	2.43756	3.17249	0.0437786	0.329337	11.126	3.58105	0.456529	0.0494812	24.671	0.32499	0.0576553
Element 62	0.212003	3.16892	2.51503	0.0457704	11.4537	0.355561	0.444081	3.36742	0.0465653	0.311953	24.0291	0.0552267
Element 63	2.59355	3.16558	0.229403	0.382453	11.7675	0.0476642	0.432258	3.17262	0.0437958	0.29972	23.4463	0.0529441
Element 64	3.19145	2.55766	0.332682	12.0225	0.408339	0.058582	0.0414243	2.61037	0.420527	0.0506771	19.9344	0.285686
Element 65	0.259407	3.16178	2.75096	0.0504689	12.314	0.438338	2.79248	0.0385931	0.410882	22.3797	0.0487921	0.277623
Element 66	3.16055	2.82752	0.27514	12.547	0.467899	0.0523227	0.400967	2.63111	0.0361334	0.267615	21.9498	0.0468871
Element 67	0.288642	2.90567	3.1596	0.0540508	0.497581	12.76	0.39128	2.48596	0.0337664	0.258152	21.5401	0.0450664
Element 68	3.15573	0.31152	2.97722	12.9729	0.0581399	0.531213	0.381564	2.40248	0.0315224	0.249196	21.3628	0.0433253
Element 69	3.15592	0.322545	3.05569	13.1232	0.0597223	0.561877	0.0292845	0.372487	2.27834	0.0416534	0.240822	21.0034
Element 7	0.533016	0.0529009	0.092416	0.290953	10.3548	10.354	0.261799	0.000880262	0.110167	2.76253	0.0347681	0.993422
Element 70	3.10795	3.14091	0.37566	0.606348	13.3705	0.0729815	0.361901	2.45409	0.0272384	0.232652	21.2695	0.039997
Element 71	3.11447	0.539634	3.06461	13.8969	0.0891709	0.67992	0.0258564	2.13984	0.347788	0.0382809	18.0079	0.222707
Element 72	3.01167	3.16285	0.633422	0.710402	13.8262	0.0948487	0.341417	1.53566	0.0240724	0.21413	15.5299	0.0367834
Element 73	3.20237	0.830098	2.86552	13.8446	0.118382	0.766369	0.0224814	1.40165	0.333741	0.0352935	14.6149	0.205704
Element 74	0.924907	2.75555	3.3044	0.128663	0.765826	13.4471	0.329974	1.09916	0.0206499	0.198219	13.5088	0.0338918
Element 75	1.96952	1.21727	4.10392	49.8831	0.133244	1.84397	0.0290792	0.230697	0.60884	0.0284193	0.190969	1.3709
Element 76	2.06386	1.29603	3.96921	40.5672	0.146559	1.82562	0.0269835	0.231084	0.630467	0.0284172	0.179765	1.38912
Element 77	2.21523	1.37573	3.78244	32.4464	0.16092	1.78757	0.0244643	0.236932	0.648471	0.028291	0.170692	1.37928
Element 78	0.984698	2.73987	3.61697	0.160911	0.718972	12.9281	0.302886	0.278371	0.0152124	0.170135	1.49863	0.0283511
Element 79	0.961263	3.69581	2.77567	0.170932	12.9335	0.689997	0.295414	0.311476	0.0143237	0.163526	1.39201	0.0271265
Element 8	0.339969	0.30757	0.130369	0.38157	0.381571	19.192	0.0883326	0.196587	0.00099622	0.760636	2.07401	0.0303267
Element 80	1.292	2.75161	3.49388	0.183433	0.942368	14.6236	0.277305	0.430233	0.0148294	0.15511	1.28872	0.0261904
Element 81	3.75965	3.21196	0.647768	13.5042	0.666331	0.0922518	0.276123	0.318839	0.0131668	0.150313	1.12566	0.024888
Element 82	1.00796	3.09796	3.61297	0.117268	0.880453	14.7326	0.262401	0.405622	0.0131813	0.143491	1.04104	0.0239575
Element 83	1.59827	4.38234	2.06075	0.156897	2.47095	57.2439	0.194426	0.822705	0.0233227	0.132979	0.956533	0.0223038
Element 84	1.71463	2.14116	4.37512	97.9263	0.210194	3.66949	0.0216217	0.197844	0.652048	0.0198456	0.133759	0.780432
Element 85	1.48048	2.09175	4.75246	125.944	0.183803	4.19891	0.0185644	0.205859	0.713541	0.0181384	0.133035	0.703032
Element 86	0.630022	3.80963	3.89756	0.14091	30.8516	0.65156	0.240755	2.62869	0.0314286	0.1089	6.42383	0.0242347
Element 87	5.23288	2.48604	0.323431	8.606	0.304544	0.0387759	0.255404	0.553607	0.00575279	0.128718	0.536977	0.0129418
Element 88	1.44193	3.55292	3.9126	0.118741	1.0174	63.1815	0.216174	3.94192	0.0460423	0.0955806	35.0603	0.022085
